size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,217.860051,217.25400000000002,3.7897636721951526,207.891,215.63025,219.07799999999997,213.21665000000002,225.51139999999998,239.189,71
73182728,9147841,random,1000,264.345796,266.39,21.50776077563552,222.352,252.4195,276.7635,230.35775,285.1183,493.109,13
79806336,9975792,random,1000,242.276127,239.113,14.461494836003737,223.786,229.3235,252.8985,226.586,267.0306,312.904,6
87029424,10878678,random,1000,233.517329,227.643,19.669331606147466,218.267,224.7855,233.079,221.88105000000002,269.2781,363.941,99
94906264,11863283,random,1000,224.9284,224.309,4.480245672872112,218.148,222.888,225.9745,220.8905,231.13895,285.013,60
103496016,12937002,random,1000,228.168131,227.164,8.516399375449765,221.01,225.647,228.8715,223.74215,234.36095,352.936,59
112863200,14107900,random,1000,231.356516,229.815,9.98574451963174,223.291,228.4985,231.26975,226.77155,238.14585,339.551,84
123078192,15384774,random,1000,235.515526,233.6055,12.231768560573874,226.019,231.82874999999999,235.70275,229.542,241.15314999999998,357.079,44
134217728,16777216,random,1000,236.143438,235.136,8.078479105302607,228.5,233.7955,236.63225,232.05,242.32629999999997,359.023,72
146365464,18295683,random,1000,238.102379,237.2045,6.8868806085102765,230.694,235.941,238.566,234.0229,245.01235,333.612,79
159612672,19951584,random,1000,240.120171,239.249,7.240120462123891,233.294,237.9325,240.6375,235.99625,246.88785,366.485,80
174058856,21757357,random,1000,242.360402,241.363,8.405958517801464,235.64,240.01325,242.6315,238.3719,249.07569999999998,369.359,84
189812528,23726566,random,1000,245.009085,243.71699999999998,10.284437953908943,237.81,242.39350000000002,245.2275,240.4477,251.44465,406.263,84
206992032,25874004,random,1000,249.615506,243.15699999999998,23.802953727849285,237.909,241.98450000000003,244.571,240.41075,299.97515,482.056,114
225726408,28215801,random,1000,252.08025,243.981,25.50049300690273,238.246,242.77775,245.30925,241.19969999999998,334.7844,397.811,133
246156392,30769549,random,1000,248.842976,247.803,7.88308155090141,242.274,246.823,248.945,245.31095000000002,255.21425,365.468,89
268435456,33554432,random,1000,253.432097,247.2215,21.978845900745558,242.01,245.951,248.72175000000001,244.4076,302.7775,378.305,115
