size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,sequential,1000,6.565886,6.267,1.0313103762185738,6.202,6.255,6.295,6.24195,8.786599999999998,26.562,197
1112,139,sequential,1000,6.281675,6.261,0.41424790488510826,6.229,6.251,6.271,6.241,6.3011,15.539,51
1216,152,sequential,1000,6.280974,6.259,0.4007020357390831,6.231,6.251,6.269,6.241,6.2991,15.501,57
1328,166,sequential,1000,6.365762,6.114,3.7482325264620964,6.085,6.106,6.124,6.096,6.174,81.517,83
1448,181,sequential,1000,6.521353,6.114,7.480884843548484,6.084,6.106,6.124,6.095,6.1610499999999995,215.47,73
1576,197,sequential,1000,6.413548,6.174,3.6216336761439827,6.137,6.165,6.184,6.15495,6.2151,77.829,59
1720,215,sequential,1000,7.059596,6.173,7.262717678587187,6.128,6.163,6.19625,6.148,6.32705,83.935,199
1872,234,sequential,1000,6.40918,6.166,3.7206722136357726,6.132,6.157,6.176,6.145,6.209,82.369,63
2048,256,sequential,1000,6.400068,6.162,3.5818337698070986,6.122,6.152,6.171,6.14,6.22205,73.582,83
2232,279,sequential,1000,6.391117,6.158,3.5219092964475114,6.122,6.148,6.168,6.136,6.206,72.403,64
2432,304,sequential,1000,6.38008,6.1545000000000005,3.330562021187562,6.122,6.146,6.165,6.134,6.20605,63.631,66
2656,332,sequential,1000,6.496644,6.152,4.238205181019486,6.122,6.144,6.163,6.132,6.221,73.353,97
2896,362,sequential,1000,6.162779,6.148,0.2750023317018266,6.108,6.139749999999999,6.158,6.128,6.1921,12.919,59
3152,394,sequential,1000,6.159411,6.146,0.25961734388180663,6.114,6.136,6.156,6.124,6.18005,12.251,48
3440,430,sequential,1000,6.156998,6.142,0.26426384045754986,6.112,6.134,6.152,6.122,6.18805,12.506,57
3752,469,sequential,1000,6.158027,6.144,0.25862783420897995,6.11,6.134,6.155,6.1239,6.182,12.266,33
4096,512,sequential,1000,6.167597,6.154,0.26114371643145395,6.122,6.145,6.162,6.134,6.2010499999999995,12.415,61
4464,558,sequential,1000,6.164334,6.15,0.2660482063312814,6.116,6.14,6.16,6.131,6.191,12.437,51
4864,608,sequential,1000,6.161633,6.148,0.2687259942226858,6.116,6.13875,6.157,6.127,6.19205,12.633,58
5312,664,sequential,1000,6.160051,6.146,0.27287961756914836,6.113,6.138,6.156,6.126,6.18105,12.766,45
5792,724,sequential,1000,6.162489,6.149,0.2615068789281206,6.108,6.138,6.159,6.126,6.189,12.45,47
6312,789,sequential,1000,6.346075,6.146,2.9343339969029394,6.11,6.136,6.156,6.124,6.2,57.378,74
6888,861,sequential,1000,6.62786,6.144,4.643228425633679,6.112,6.134,6.155,6.1239,6.277,59.038,96
7512,939,sequential,1000,6.350224,6.142,2.968073030661365,6.109,6.132,6.152,6.122,6.2771,58.717,117
8192,1024,sequential,1000,6.28014,6.144,2.298067000837952,6.073,6.135,6.155,6.124,6.19105,61.799,62
8928,1116,sequential,1000,6.270704,6.14,2.369379018079487,6.102,6.13,6.15,6.118,6.184,63.693,55
9736,1217,sequential,1000,6.362439,6.146,3.215110958389112,6.108,6.136,6.157,6.124,6.19605,63.802,69
10624,1328,sequential,1000,6.406984,6.145,3.956230947638807,6.112,6.13475,6.156,6.122,6.196,85.481,62
11584,1448,sequential,1000,6.306319,6.283,0.4267555125672151,6.245,6.275,6.293,6.265,6.32905,16.22,59
12632,1579,sequential,1000,6.308014,6.281,0.618239973204959,6.245,6.271,6.289,6.261,6.33605,24.827,64
13776,1722,sequential,1000,6.297878,6.283,0.27377364578265223,6.243,6.275,6.293,6.263,6.322,12.818,52
15024,1878,sequential,1000,6.299773,6.284,0.29329522252938006,6.247,6.275,6.294,6.26295,6.33205,13.38,61
16384,2048,sequential,1000,6.296979,6.283,0.2749415709317644,6.253,6.273,6.292,6.263,6.322,12.867,54
17864,2233,sequential,1000,6.302309,6.287,0.26994937337060665,6.245,6.279,6.29825,6.264,6.32905,12.702,55
19480,2435,sequential,1000,6.302701,6.287,0.2859852289020364,6.251,6.278,6.297,6.265,6.338,13.185,64
21240,2655,sequential,1000,6.300178,6.2844999999999995,0.28444070177952524,6.249,6.275,6.295,6.263,6.331,13.3,56
23168,2896,sequential,1000,6.318247,6.302,0.28364101292869337,6.247,6.293,6.313,6.281,6.348199999999999,12.933,63
25264,3158,sequential,1000,6.314234,6.3,0.263411721415314,6.253,6.291,6.31,6.277,6.3461,12.835,66
27552,3444,sequential,1000,6.32805,6.313,0.2961582266208305,6.263,6.299,6.329,6.279,6.356,13.638,27
30048,3756,sequential,1000,6.340347,6.326,0.2771759460993975,6.273,6.312,6.34,6.29695,6.371,12.806,28
32768,4096,sequential,1000,6.422661,6.349,1.3089152245826101,6.204,6.335,6.36225,6.315,6.402,42.941,60
35728,4466,sequential,1000,6.376035,6.358,0.3115595209749015,6.291,6.342,6.378,6.324,6.41405,14.265,25
38968,4871,sequential,1000,6.32364,6.303,0.4128515190438044,6.263,6.293,6.314,6.279,6.346,17.701,53
42488,5311,sequential,1000,6.320785,6.303,0.3195210266343382,6.265,6.292,6.314,6.279,6.352,14.203,53
46336,5792,sequential,1000,6.334469,6.303,0.6543377560082697,6.263,6.293,6.315,6.279,6.3601,26.047,76
50528,6316,sequential,1000,6.320811,6.302,0.36270356098631307,6.263,6.291,6.312,6.27995,6.346,15.633,54
55104,6888,sequential,1000,6.318909,6.303,0.2966423223115447,6.259,6.293,6.313,6.281,6.3461,13.139,55
60096,7512,sequential,1000,6.329404,6.304,0.329221070554874,6.267,6.295,6.315,6.28,6.37,14.473,84
65536,8192,sequential,1000,6.324692,6.303,0.3357443661707749,6.261,6.292,6.31425,6.281,6.368,15.107,80
71464,8933,sequential,1000,6.317692,6.301,0.2698951806619461,6.255,6.291,6.312,6.279,6.352,12.339,67
77936,9742,sequential,1000,6.325736,6.302,0.33880258188728946,6.267,6.293,6.314,6.281,6.372,14.789,89
84984,10623,sequential,1000,6.326668,6.303,0.31241235772174125,6.261,6.292,6.315250000000001,6.281,6.3900999999999994,13.562,92
92680,11585,sequential,1000,6.320288,6.303,0.2862920854900013,6.251,6.292,6.31325,6.279,6.3580499999999995,13.097,70
101064,12633,sequential,1000,6.328528,6.303,0.33002404015932396,6.261,6.29175,6.315,6.279,6.3911999999999995,13.86,88
110216,13777,sequential,1000,6.331304,6.302,0.3295679301822382,6.266,6.292,6.314,6.279,6.4011499999999995,14.3,103
120192,15024,sequential,1000,6.322292,6.303,0.3037413859940156,6.257,6.29275,6.314,6.28,6.34805,13.585,55
131072,16384,sequential,1000,6.321085,6.302,0.35896505635881426,6.263,6.293,6.314,6.281,6.342,14.656,44
142928,17866,sequential,1000,6.321512,6.306,0.2718025210818812,6.261,6.294,6.319,6.281,6.35405,12.397,43
155872,19484,sequential,1000,6.330359,6.31,0.3712508037409189,6.259,6.297,6.327,6.282,6.364,15.234,27
169976,21247,sequential,1000,6.324395,6.307,0.28897005496706346,6.261,6.29475,6.324,6.281,6.362,13.099,38
185360,23170,sequential,1000,6.33702,6.312,0.37789144147696907,6.265,6.298,6.331,6.283,6.382,15.607,52
202136,25267,sequential,1000,6.332264,6.312,0.33225421768454527,6.265,6.29875,6.328,6.2829500000000005,6.37,14.519,47
220432,27554,sequential,1000,6.34327,6.322,0.319809150890016,6.265,6.306,6.344,6.287,6.3881,14.16,37
240384,30048,sequential,1000,6.347648,6.329,0.24667778583817804,6.268,6.31075,6.352,6.291,6.422,13.798,61
262144,32768,sequential,1000,6.344563,6.329,0.2878838083639268,6.267,6.31375,6.348,6.291,6.378,12.797,25
285864,35733,sequential,1000,6.350909,6.334,0.33745466120260864,6.273,6.317,6.35,6.297,6.378,14.571,22
311744,38968,sequential,1000,6.356016,6.338,0.35594521311395483,6.263,6.321,6.356,6.299,6.388,15.264,25
339952,42494,sequential,1000,6.364295,6.341,0.4815222233984914,6.271,6.324,6.356,6.301,6.388,18.497,24
370728,46341,sequential,1000,6.366436,6.345,0.4388974491551243,6.285,6.33,6.362,6.309,6.392,17.332,16
404280,50535,sequential,1000,6.363563,6.348,0.3427243674193929,6.283,6.334,6.362,6.312,6.3861,14.894,25
440872,55109,sequential,1000,6.364471,6.35,0.29684887807673355,6.281,6.336,6.364,6.315,6.394,13.268,38
480768,60096,sequential,1000,6.369697,6.354,0.32041376714051034,6.292,6.34,6.368,6.31895,6.3980999999999995,13.923,39
524288,65536,sequential,1000,6.375112,6.356,0.4222219805467935,6.287,6.342,6.368,6.321,6.398,17.36,42
571736,71467,sequential,1000,6.370836,6.356,0.29414632270889124,6.299,6.342,6.37,6.322,6.406,12.935,36
623480,77935,sequential,1000,6.408793,6.357,0.47597303966242194,6.297,6.344,6.372,6.323,6.4161,17.183,56
679912,84989,sequential,1000,6.37653,6.357,0.41439248814889756,6.296,6.346,6.368,6.32895,6.398,17.128,55
741448,92681,sequential,1000,6.388147,6.358,0.5089242057892689,6.29,6.346,6.371,6.32795,6.412,18.65,64
808560,101070,sequential,1000,6.388679,6.36,0.5341261261890095,6.268,6.348,6.372,6.32995,6.404,20.128,51
881744,110218,sequential,1000,6.410713,6.36,0.4328616012038915,6.299,6.348,6.374,6.334,6.414,14.624,56
961544,120193,sequential,1000,6.376635,6.358,0.3331104837278007,6.3,6.348,6.37125,6.33,6.404,14.189,55
1048576,131072,sequential,1000,6.379493,6.36,0.32314684252338416,6.293,6.35,6.374,6.333,6.41,13.691,56
1143480,142935,sequential,1000,6.909769,6.622,0.8428696868128239,6.303,6.404999999999999,7.309,6.348,8.081199999999999,22.298,6
1246968,155871,sequential,1000,7.161234,6.7475000000000005,0.9206509541750464,6.406,6.583,7.418,6.46095,8.94515,17.499,86
1359832,169979,sequential,1000,7.798485,7.5115,1.061624487437685,6.39,6.9155,8.30275,6.5268,9.613249999999999,20.708,2
1482904,185363,sequential,1000,7.992678,8.0075,0.9736701165239754,6.418,7.353,8.72975,6.775,9.572499999999998,17.457,3
1617120,202140,sequential,1000,7.776463,7.522,1.0626950199075633,6.408,6.923500000000001,8.2325,6.519,9.49315,23.207,2
1763488,220436,sequential,1000,7.643675,7.3919999999999995,1.0841233993046733,6.377,6.798500000000001,8.2185,6.464,9.4811,20.53,2
1923096,240387,sequential,1000,7.62392,7.3740000000000006,1.0761306308876886,6.374,6.797,8.177,6.48295,9.471,22.755,2
2097152,262144,sequential,1000,7.114089,6.7225,0.9699254303395799,6.39,6.5125,7.38325,6.442,8.905599999999998,20.182,75
2286960,285870,sequential,1000,7.874997,7.589,1.0383792189722372,6.448,7.152,8.677,6.721,9.64305,18.63,3
2493944,311743,sequential,1000,7.78147,7.458,1.1068503542967345,6.396,6.856,8.34175,6.505,9.649149999999999,20.414,3
2719664,339958,sequential,1000,7.926788,7.917999999999999,1.0170850254551018,6.408,7.222,8.694,6.72495,9.6345,17.574,3
2965816,370727,sequential,1000,7.645972,7.404,0.9750439723232814,6.4,6.832,8.17425,6.50875,9.4832,17.741,2
3234248,404281,sequential,1000,7.603754,7.387,1.0321673269750766,6.402,6.791,8.1715,6.467,9.5191,17.546,2
3526968,440871,sequential,1000,7.79381,7.5035,1.0097414776821598,6.388,6.882,8.347999999999999,6.5289,9.498099999999999,17.689,2
3846192,480774,sequential,1000,7.198929,6.765,1.018865239536287,6.392,6.531,7.4445,6.45,9.12815,17.405,91
4194304,524288,sequential,1000,7.634107,7.367,1.162941608480725,6.243,6.817,8.161249999999999,6.483,9.5381,21.991,4
4573920,571740,sequential,1000,7.67038,7.3855,1.1136562242387844,6.281,6.74375,8.481,6.3818,9.363599999999998,23.215,3
4987896,623487,sequential,1000,6.979412,6.507,0.9601082564586767,6.247,6.372,7.283,6.3069500000000005,8.786499999999998,19.671,71
5439336,679917,sequential,1000,7.479561,7.056,3.385557438214045,6.255,6.471,7.9445,6.31795,9.296199999999999,65.281,7
5931640,741455,sequential,1000,7.37978,7.0825,1.1229874738689058,6.269,6.5265,8.0,6.32795,9.354049999999999,18.769,4
6468496,808562,sequential,1000,7.366049,7.157,1.0072011858749115,6.263,6.61,7.96725,6.3309500000000005,9.28615,18.964,2
7053944,881743,sequential,1000,7.603835,7.339,1.0215788462542252,6.281,6.72025,8.19825,6.370950000000001,9.4291,16.972,3
7692384,961548,sequential,1000,7.732598,7.513999999999999,1.077043962934705,6.269,6.8205,8.350249999999999,6.525,9.6321,18.209,3
8388608,1048576,sequential,1000,7.410729,7.0794999999999995,1.0870057355083405,6.271,6.5815,8.086,6.375900000000001,9.482099999999999,18.912,5
9147840,1143480,sequential,1000,7.515842,7.234,1.064931402451786,6.275,6.672,8.16325,6.404850000000001,9.485599999999998,17.01,2
9975792,1246974,sequential,1000,8.054401,8.002,1.051846001185159,6.348,7.332,8.70025,6.7019,9.59,19.202,5
10878672,1359834,sequential,1000,7.931319,7.413,3.9473633717746113,6.293,6.81175,8.2905,6.46485,9.689499999999999,74.768,16
11863280,1482910,sequential,1000,7.465303,6.936,2.908061314312131,6.255,6.638,7.79225,6.418,9.443299999999999,81.342,45
12937000,1617125,sequential,1000,7.968476,7.6865000000000006,1.0078343820120275,6.283,7.252,8.625,6.71875,9.6893,17.733,3
14107896,1763487,sequential,1000,7.840504,7.573,1.1207708763798876,6.31,6.934,8.4785,6.59995,9.71525,18.245,5
15384768,1923096,sequential,1000,7.591281,7.335,1.029724559631219,6.374,6.80275,8.22925,6.604850000000001,9.61915,17.425,4
16777216,2097152,sequential,1000,8.424062,8.125,3.819431875031155,6.446,7.362500000000001,8.95125,6.7907,9.908599999999998,66.167,7
18295680,2286960,sequential,1000,9.048735,8.403500000000001,5.743668744401998,6.632,7.6185,9.24075,7.0228,10.319749999999997,79.818,14
19951584,2493948,sequential,1000,7.785771,7.585,1.0238315337830577,6.443,6.955500000000001,8.359,6.6737,9.6794,17.9,4
21757352,2719669,sequential,1000,7.821861,7.566000000000001,1.121131013052189,6.467,6.904999999999999,8.470500000000001,6.674,9.7592,17.671,4
23726560,2965820,sequential,1000,7.850191,7.463,2.828785802360199,6.434,6.828749999999999,8.395,6.6479,9.763449999999999,77.841,6
25874000,3234250,sequential,1000,6.758018,6.6005,0.5527052150384785,6.336,6.583,6.668,6.45295,7.62505,19.291,272
28215800,3526975,sequential,1000,6.714806,6.594,0.4294878999695104,6.227,6.563,6.6485,6.41695,7.474,13.959,261
30769544,3846193,sequential,1000,6.721245,6.595,0.42186943097573665,6.292,6.566,6.652,6.418,7.4910499999999995,13.38,263
33554432,4194304,sequential,1000,6.961932,6.591,2.9995816500724652,6.32,6.555,6.722,6.479850000000001,7.6922,57.819,170
36591368,4573921,sequential,1000,6.972152,6.893000000000001,0.5350634109614951,6.537,6.816,7.047499999999999,6.766850000000001,7.2711,18.439,28
39903168,4987896,sequential,1000,6.944435,6.855,0.6003854799206086,6.467,6.779,6.985,6.664,7.382199999999999,19.835,77
43514712,5439339,sequential,1000,6.964344,6.85,0.5726322636503931,6.418,6.773,7.027,6.6679,7.4642,18.475,61
47453128,5931641,sequential,1000,7.05519,6.821,2.870747978812814,6.416,6.713,7.00075,6.62,7.561,81.823,90
51748008,6468501,sequential,1000,6.96887,6.874,0.6288607802852559,6.418,6.78975,6.9875,6.678,7.53025,19.964,102
56431600,7053950,sequential,1000,7.114753,6.829,3.0582993245838037,6.432,6.761,6.99625,6.6639,7.377199999999999,60.304,59
61539096,7692387,sequential,1000,6.928312,6.817,0.5498162989750474,6.414,6.7467500000000005,6.99925,6.67495,7.393,17.871,56
67108864,8388608,sequential,1000,7.178377,6.8345,3.567056712257244,6.467,6.7545,7.01525,6.662,7.468,85.133,69
