size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2719664,339958,random,1000,37.920629,37.812,1.1237062601579286,36.938,37.61225,37.996,37.377,38.234300000000005,55.39,17
2759224,344903,random,1000,37.953188,37.859,0.8120617691856777,37.05,37.689,38.06,37.45295,38.31705,48.803,15
2799360,349920,random,1000,37.980626,37.909,0.7731780871691065,37.199,37.734,38.087,37.45975,38.3243,45.111,19
2840072,355009,random,1000,38.022866,37.9465,0.8165714990477301,37.308,37.7635,38.13,37.4939,38.39105,48.845,16
2881384,360173,random,1000,38.041786,37.9645,0.7753044002952113,37.279,37.776,38.147,37.5218,38.4492,45.186,15
2923296,365412,random,1000,38.766626,38.088,2.092597046381009,37.136,37.8725,38.4025,37.5969,44.3052,55.304,147
2965816,370727,random,1000,38.186196,38.066,1.010199337896381,37.294,37.895,38.261250000000004,37.624,38.588100000000004,53.527,33
3008952,376119,random,1000,38.163947,38.096,0.7669061136659285,37.24,37.899,38.2765,37.62785,38.5602,45.099,19
3052720,381590,random,1000,38.685788,38.176,1.8447579974417037,37.23,37.987,38.399,37.69395,42.75775,54.242,118
3097128,387141,random,1000,44.677522,43.685,4.12319548730624,37.809,41.31075,47.68525,39.400450000000006,51.5216,73.72,6
3142176,392772,random,1000,38.347577,38.203,1.0015537909004524,37.349,38.0255,38.383250000000004,37.782,38.82885,49.53,43
3187880,398485,random,1000,38.456441,38.28,1.098073737256042,37.51,38.0955,38.48425,37.83485,39.1183,51.791,55
3234248,404281,random,1000,38.336319,38.255,0.9253134367311409,37.559,38.065,38.417500000000004,37.842850000000006,38.6752,51.159,13
3281288,410161,random,1000,38.395091,38.302,1.1634450348289205,37.454,38.139,38.475,37.884699999999995,38.7291,67.038,20
3329016,416127,random,1000,38.848365,38.6815,0.9033000557764655,37.699,38.42775,38.983999999999995,38.11295,39.95415,46.229,58
3377440,422180,random,1000,40.226405,39.888,1.936512900858187,38.427,39.399,40.532,38.92395,41.7837,72.51,41
3426568,428321,random,1000,39.283052,39.033,1.106459171046629,37.794,38.710499999999996,39.542,38.3035,40.88255,52.076,56
3476408,434551,random,1000,40.400332,40.179,1.2758508169386746,38.189,39.704,40.814,39.1218,42.11135,56.066,28
3526968,440871,random,1000,39.684023,39.077,12.97212190411292,38.04,38.80975,39.444250000000004,38.4308,40.476,447.706,56
3578272,447284,random,1000,46.556868,46.382999999999996,2.174792927350292,41.274,45.171,47.581,43.65075,49.9101,61.438,30
3630320,453790,random,1000,39.28449,39.085,1.2538231495671113,38.012,38.802749999999996,39.47425,38.491949999999996,40.2753,66.395,31
3683120,460390,random,1000,39.19665,38.739000000000004,1.3762486497162663,37.809,38.48975,39.3365,38.21795,41.4002,53.787,110
3736696,467087,random,1000,38.638003,38.554,0.7470270372519225,37.645,38.39575,38.74025,38.1609,38.9732,45.52,16
3791048,473881,random,1000,38.759586,38.653,0.942934328440614,37.865,38.4585,38.8465,38.1926,39.2374,55.068,29
3846192,480774,random,1000,38.705152,38.6165,0.7751216384867927,37.8,38.44875,38.80425,38.219,39.1041,45.812,20
3902136,487767,random,1000,38.92762,38.822,0.8109143380552989,37.759,38.628,39.047,38.338,39.523050000000005,46.223,38
3958888,494861,random,1000,38.798187,38.703,0.868834385380908,37.958,38.521,38.87425,38.2679,39.1301,47.878,30
4016472,502059,random,1000,38.954604,38.8,0.9697279667584685,37.759,38.61,39.0115,38.3538,39.641,51.816,54
4074896,509362,random,1000,38.792495,38.707,0.7898052305963017,37.74,38.5415,38.895,38.326,39.1581,49.202,17
4134168,516771,random,1000,38.934185,38.836,0.793985770766189,38.038,38.6405,39.05125,38.3989,39.44205,45.972,24
4194296,524287,random,1000,38.853202,38.7825,0.7538631990745529,37.972,38.6115,38.9495,38.3669,39.1961,45.595,17
4255304,531913,random,1000,38.989937,38.87,0.8213177069848224,38.01,38.687,39.096,38.44035,39.57035,46.879,29
4317200,539650,random,1000,38.908576,38.822,0.756343739364633,38.096,38.665,39.013,38.427,39.245,45.943,14
4380000,547500,random,1000,39.031809,38.949,0.817551237871698,38.084,38.76075,39.141,38.4868,39.453050000000005,49.403,22
4443704,555463,random,1000,38.963826,38.895,0.7593687421869633,38.028,38.721,39.064,38.48485,39.3081,45.856,18
4508344,563543,random,1000,39.29342,39.1675,0.9752648466550616,38.203,38.92675,39.434,38.637,40.00899999999999,55.596,38
4573920,571740,random,1000,39.148784,38.958,1.5444952842359303,38.25,38.793,39.152,38.5438,39.587450000000004,73.954,47
4640448,580056,random,1000,46.333253,45.6475,3.0681271974105786,41.046,44.21425000000001,47.874750000000006,42.62965,52.2495,68.977,27
4707944,588493,random,1000,43.534338,43.132000000000005,2.1308943649441074,40.301,42.187,44.3735,41.165949999999995,46.8672,69.92,31
4776424,597053,random,1000,43.994729,43.817,1.5185512277794222,40.571,42.967,44.758,42.0117,46.456199999999995,54.21,22
4845896,605737,random,1000,47.44776,44.132999999999996,8.89271325352445,40.714,43.077,47.0075,41.807249999999996,67.73154999999998,113.32,137
4916384,614548,random,1000,46.518079,45.2805,4.247579299396736,40.918,43.986,47.199,42.724000000000004,56.526849999999996,77.642,95
