footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,1024,32,4096,0,random,1000,6.761523,6.349,4.411088733100059,6.184,6.281,6.384,6.2249,6.43905,63.907,21
36768,1149,32,4096,0,random,1000,7.323741,6.962,3.992031460685412,6.839,6.937749999999999,6.991,6.896,7.0491,63.927,38
41280,1290,32,4096,0,random,1000,8.311231,7.998,3.8652803336493844,7.857,7.964,8.03,7.9159500000000005,8.087,74.861,31
46336,1448,32,4096,0,random,1000,8.958563,8.52,4.531568153295166,8.395,8.494,8.54825,8.46,8.601,77.36,41
52000,1625,32,4096,0,random,1000,9.238226,9.046,2.8806153786793343,8.921,9.01,9.07625,8.969,9.121,57.815,19
58368,1824,32,4096,0,random,1000,9.623823,9.551,2.030342458840668,9.286,9.4985,9.578,9.33,9.611,56.916,206
65536,2048,32,4096,0,random,1000,10.08569,9.869499999999999,3.1089663809468666,9.747,9.836,9.905,9.791,9.9511,67.65,14
73536,2298,32,4096,0,random,1000,10.587729,10.058,4.811121424670336,9.961,10.036,10.08,10.004,10.2472,76.223,56
82560,2580,32,4096,0,random,1000,10.642732,10.1955,4.592945293888079,10.038,10.16075,10.243,10.0919,10.3361,84.823,36
92672,2896,32,4096,0,random,1000,10.996892,10.416,5.615595478568138,10.255,10.368,10.469,10.30695,10.6022,97.196,47
104032,3251,32,4096,0,random,1000,10.585659,10.324,3.165155456495428,10.169,10.283,10.372,10.229,10.46005,59.054,26
116768,3649,32,4096,0,random,1000,11.127135,10.421,5.546093131186565,10.298,10.378,10.481,10.337,10.729299999999999,68.392,94
131072,4096,32,4096,0,random,1000,12.691374,12.107,4.959331349441935,11.716,12.002,12.234,11.8649,12.4701,69.128,28
147104,4597,32,4096,0,random,1000,14.435747,13.850999999999999,5.215177775706522,13.23,13.7165,13.9815,13.54775,14.219299999999999,84.381,27
165120,5160,32,4096,0,random,1000,13.908767,13.33,5.014885072162472,12.76,13.165,13.48325,12.924900000000001,13.737499999999999,83.27,37
185344,5792,32,4096,0,random,1000,14.196277,14.117,0.8633546162872267,13.372,13.9785,14.274249999999999,13.7599,14.521,28.666,18
208064,6502,32,4096,0,random,1000,15.231367,15.105,1.197590272493799,14.487,14.959,15.265,14.7529,15.52315,37.365,28
233536,7298,32,4096,0,random,1000,16.084797000000002,15.966,1.144707808026466,15.18,15.76575,16.16825,15.5349,16.4842,32.81,29
262144,8192,32,4096,0,random,1000,18.352183,18.240000000000002,1.025180748491737,17.258,18.01925,18.484,17.73695,19.00865,35.324,29
294240,9195,32,4096,0,random,1000,19.687073,19.544,1.2206160285528616,18.642,19.3125,19.78125,19.05485,20.2201,35.92,31
330272,10321,32,4096,0,random,1000,21.393288,21.0335,3.177292050761439,19.928,20.7635,21.445,20.43445,21.961199999999998,72.044,33
370720,11585,32,4096,0,random,1000,22.53416,22.2755,2.4166727352931985,21.393,22.054,22.513,21.7799,23.11045,71.598,49
416128,13004,32,4096,0,random,1000,24.370569,24.242,1.1291280544749573,23.402,24.061,24.424,23.781,24.960150000000002,41.23,52
467072,14596,32,4096,0,random,1000,26.587931,26.4585,1.2389864687351144,25.399,26.201,26.709,25.862949999999998,27.1383,44.283,33
524288,16384,32,4096,0,random,1000,28.286812,27.927,1.725867588660726,27.046,27.6975,28.228250000000003,27.394,29.347849999999994,46.25,57
588480,18390,32,4096,0,random,1000,29.028211,28.889499999999998,1.0265111132104439,28.029,28.67875,29.148,28.355,29.713,42.927,33
660544,20642,32,4096,0,random,1000,30.292483,30.177,1.0564924685235797,29.304,29.98675,30.405250000000002,29.6947,30.7532,45.399,23
741440,23170,32,4096,0,random,1000,31.5144,31.3975,1.0726090705463096,30.303,31.16825,31.6585,30.8277,32.080549999999995,44.696,25
832224,26007,32,4096,0,random,1000,32.520482,32.316,1.534842637405411,31.501,32.092,32.599,31.886,32.944300000000005,52.734,26
934144,29192,32,4096,0,random,1000,33.224652,33.077,1.316316027700332,32.194,32.865,33.304,32.56595,33.8023,49.718,27
1048576,32768,32,4096,0,random,1000,34.001078,33.921,0.9528236609388144,32.897,33.71975,34.127750000000006,33.394800000000004,34.4231,46.222,21
