footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,1024,32,4096,0,sequential,1000,6.334651,6.054,3.6904653052654983,5.896,6.02575,6.08,5.955,6.13,73.259,60
36768,1149,32,4096,0,sequential,1000,6.594953,6.281,3.7691870773437364,6.134,6.253,6.312,6.213,6.37105,66.816,31
41280,1290,32,4096,0,sequential,1000,6.912869,6.286,5.332010833200207,6.154,6.257,6.32325,6.217,6.4704,67.989,76
46336,1448,32,4096,0,sequential,1000,6.610438,6.294,3.8034179707752886,6.18,6.267,6.324,6.227,6.390199999999999,66.968,37
52000,1625,32,4096,0,sequential,1000,6.563822,6.201,3.98370145713953,6.035,6.1427499999999995,6.283,6.096,6.3621,64.85,14
58368,1824,32,4096,0,sequential,1000,6.552946,6.291,3.1912169312954246,6.179,6.264,6.327,6.2269000000000005,6.418,54.833,46
65536,2048,32,4096,0,sequential,1000,6.442076,6.43,0.31448739011690524,6.307,6.398,6.456,6.358,6.50305,14.305,9
73536,2298,32,4096,0,sequential,1000,6.456612,6.408,1.36906168427553,6.167,6.372,6.44425,6.26785,6.493,48.595,53
82560,2580,32,4096,0,sequential,1000,6.669505,6.366,3.6469856114365222,6.181,6.287,6.432,6.235,6.523199999999999,59.283,16
92672,2896,32,4096,0,sequential,1000,6.321508,6.152,2.4857142026051653,6.038,6.124,6.188,6.0899,6.291,54.421,54
104032,3251,32,4096,0,sequential,1000,6.453038,6.4295,0.4615473632516218,6.301,6.398,6.46,6.35895,6.511,17.751,15
116768,3649,32,4096,0,sequential,1000,6.618464,6.315,3.501936053789222,6.063,6.2545,6.416,6.134,6.48105,55.693,8
131072,4096,32,4096,0,sequential,1000,6.450115,6.197,3.316104565490097,6.052,6.167,6.231,6.124,6.295,63.048,32
147104,4597,32,4096,0,sequential,1000,6.624133,6.499,1.9779488995320786,6.277,6.469,6.539,6.415900000000001,6.596,48.6,23
165120,5160,32,4096,0,sequential,1000,6.487899,6.43,1.990405396003397,6.076,6.227,6.513,6.163,6.586,49.121,6
185344,5792,32,4096,0,sequential,1000,6.781665,6.553,3.0086290448482518,6.373,6.50375,6.622,6.449,6.743,58.751,13
208064,6502,32,4096,0,sequential,1000,6.676599,6.4704999999999995,2.8540707058152557,6.109,6.389749999999999,6.551,6.253,6.642,54.725,14
233536,7298,32,4096,0,sequential,1000,6.567015,6.404,2.502719913962156,6.148,6.33,6.477,6.241,6.5652,54.736,13
262144,8192,32,4096,0,sequential,1000,6.669033,6.598,1.436396872694621,6.402,6.555,6.6465,6.485,6.7250499999999995,48.851,25
294240,9195,32,4096,0,sequential,1000,6.743424,6.434,3.5561787189770575,6.187,6.384,6.493,6.29795,6.590199999999999,55.33,31
330272,10321,32,4096,0,sequential,1000,6.838337,6.473,3.948728738477876,6.271,6.43,6.519,6.374,6.6,63.757,33
370720,11585,32,4096,0,sequential,1000,6.843191,6.648,3.4267663097825714,6.343,6.583,6.703250000000001,6.50495,6.777,94.658,17
416128,13004,32,4096,0,sequential,1000,6.960831,6.811,2.500455037755095,6.541,6.74575,6.862,6.63695,6.934,55.374,16
467072,14596,32,4096,0,sequential,1000,7.05008,6.717,3.9340566357404176,6.567,6.679,6.76125,6.626,6.865,68.825,40
524288,16384,32,4096,0,sequential,1000,7.125009,6.717,4.133121735225953,6.555,6.68,6.757,6.62995,6.8561,56.243,48
588480,18390,32,4096,0,sequential,1000,6.907337,6.882,0.4870201474837104,6.715,6.848,6.92,6.8009,6.978,18.546,10
660544,20642,32,4096,0,sequential,1000,6.919121,6.886,0.6351919309532734,6.733,6.857,6.924,6.806900000000001,6.979,23.438,13
741440,23170,32,4096,0,sequential,1000,6.91665,6.890499999999999,0.5594626421379251,6.727,6.857,6.926,6.806900000000001,6.979,21.193,11
832224,26007,32,4096,0,sequential,1000,6.922447,6.9,0.5085870052733681,6.746,6.862,6.934,6.8109,6.991099999999999,19.466,13
934144,29192,32,4096,0,sequential,1000,6.922466,6.898,0.5323676043018678,6.738,6.862,6.93125,6.81295,6.979,19.466,15
1048576,32768,32,4096,0,sequential,1000,6.918736,6.8955,0.5020954452493471,6.746,6.861,6.93125,6.81295,6.985,19.394,12
