footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,256,128,4096,56,random,1000,6.460026,6.218,3.438871640448867,6.154,6.2,6.239,6.177,6.275,72.271,35
36736,287,128,4096,56,random,1000,11.679257,11.224,5.0359681703088,10.922,11.01475,11.26425,10.975,11.3131,72.737,14
41216,322,128,4096,56,random,1000,11.691923,11.165,5.203876197658007,10.707,11.0165,11.271,10.863850000000001,11.39705,77.706,14
46336,362,128,4096,56,random,1000,11.788997,11.144,5.659927701709589,11.055,11.123,11.164,11.09695,11.216099999999999,81.126,51
51968,406,128,4096,56,random,1000,11.832453,11.396,4.595527996145204,11.299,11.373750000000001,11.42,11.345,11.466,73.267,29
58368,456,128,4096,56,random,1000,11.756513,11.4,4.4108114345710066,11.307,11.378,11.42,11.345,11.458,91.369,24
65536,512,128,4096,56,random,1000,11.506552,11.386,2.1201047977988376,11.291,11.368,11.406,11.335,11.436,60.277,21
73472,574,128,4096,56,random,1000,12.002317,11.398,8.314985822341294,11.077,11.373,11.421,11.1659,11.462,240.422,95
82560,645,128,4096,56,random,1000,11.545972,11.355,3.2552085982674344,10.922,11.146,11.404,11.103,11.45,60.34,12
92672,724,128,4096,56,random,1000,11.812958,11.625499999999999,3.2413755771073283,11.317,11.399,11.66325,11.35995,11.702,61.269,12
103936,812,128,4096,56,random,1000,11.721082000000001,11.683,0.5601708012763631,11.59,11.662,11.706,11.63195,11.742,22.199,17
116736,912,128,4096,56,random,1000,13.845346,13.816,0.49774131303187874,13.481,13.737,13.888,13.628,13.9911,23.994,12
131072,1024,128,4096,56,random,1000,13.624069,13.58,0.5606928184627262,13.28,13.513,13.657,13.4289,13.77215,25.832,13
147072,1149,128,4096,56,random,1000,13.439682,13.381,0.8209368186018556,13.038,13.304,13.457,13.183,13.576,30.237,17
165120,1290,128,4096,56,random,1000,12.418234,12.297,1.3480282524537137,12.079,12.244,12.3675,12.169,12.4921,44.814,30
185344,1448,128,4096,56,random,1000,16.665224,16.591,0.8367869383565952,16.01,16.45,16.754,16.259800000000002,16.957150000000002,30.85,15
208000,1625,128,4096,56,random,1000,19.588384,19.501,0.959222492612811,18.8,19.35,19.686,19.115,19.9482,36.128,17
233472,1824,128,4096,56,random,1000,19.891611,19.797,0.825560142708106,19.122,19.65775,19.956,19.462,20.22325,31.922,27
262144,2048,128,4096,56,random,1000,20.780643,20.5275,1.7075602008100301,19.656,20.3245,20.75,20.003500000000003,21.135,37.125,43
294144,2298,128,4096,56,random,1000,21.998392,21.885,0.9811189829958418,21.213,21.7205,22.085250000000002,21.51295,22.3281,37.853,23
330240,2580,128,4096,56,random,1000,26.001813,25.463,2.3855992504640873,24.466,25.1965,25.8245,24.8827,29.44774999999999,47.735,70
370688,2896,128,4096,56,random,1000,28.349858,28.256,0.8855007020490324,27.331,28.065,28.442,27.819,28.84515,41.24,34
416128,3251,128,4096,56,random,1000,29.313492,29.209,0.9337887423562952,28.405,29.0255,29.393,28.7748,29.717799999999997,42.89,36
467072,3649,128,4096,56,random,1000,32.572228,32.4835,0.8835278430618163,31.717,32.247,32.736,31.96465,33.0812,44.698,26
524288,4096,128,4096,56,random,1000,34.560847,34.439,0.8994519873058642,33.626,34.229,34.699,33.926899999999996,35.22825,46.0,21
588416,4597,128,4096,56,random,1000,36.134217,35.977999999999994,1.4480226004321761,35.257,35.783,36.199,35.5559,36.60715,70.338,27
660480,5160,128,4096,56,random,1000,36.394793,36.2495,1.1819793633420028,35.682,36.067,36.47425,35.892,36.728300000000004,54.474,19
741376,5792,128,4096,56,random,1000,37.43012,37.314499999999995,0.999739558477499,36.715,37.1305,37.51325,36.91795,37.8041,53.16,16
832128,6501,128,4096,56,random,1000,37.935633,37.8185,0.8406309015398039,37.103,37.6505,38.089749999999995,37.433949999999996,38.3271,47.573,12
934144,7298,128,4096,56,random,1000,38.74225,38.42,1.48790163746895,37.833,38.13175,38.645,37.976949999999995,40.50045,53.527,136
1048576,8192,128,4096,56,random,1000,38.655816,38.59,0.960923690249378,37.776,38.37675,38.769,38.058,38.986149999999995,50.703,13
