stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
36,14563,524288,4096,random,1000,30.150283,28.09,10.65856283861458,27.257,27.833,28.5235,27.5569,33.25974999999999,116.101,74
37,14169,524288,4096,random,1000,30.301584,28.959,8.592756852679662,27.882,28.7095,29.262999999999998,28.355,29.847150000000003,109.054,46
38,13797,524288,4096,random,1000,29.731137,29.574,1.945652832644143,28.273,29.302,29.822,28.97395,30.2391,71.927,37
39,13443,524288,4096,random,1000,29.980899,29.892,0.9714187785101965,29.018,29.669,30.091250000000002,29.4068,30.49025,46.346,28
40,13107,524288,4096,random,1000,28.776293,28.645,1.0196044823613966,27.928,28.462,28.877,28.188,29.2426,43.711,29
41,12787,524288,4096,random,1000,30.116536,29.9895,1.1649656517141067,29.183,29.7815,30.239,29.48395,30.6061,53.919,27
42,12483,524288,4096,random,1000,30.67711,29.816,2.638841491320825,28.488,29.5255,30.155250000000002,29.0178,36.984700000000004,49.597,137
43,12192,524288,4096,random,1000,30.235123,30.168,0.933535451019033,29.133,29.843,30.463,29.47295,30.8982,41.568,14
44,11915,524288,4096,random,1000,29.842687,29.802,0.8722800992815338,28.589,29.54825,29.997,29.09375,30.3203,39.229,39
45,11650,524288,4096,random,1000,30.610876,30.477,1.1203317374000548,29.516,30.216,30.7395,29.870649999999998,31.2153,43.785,28
46,11397,524288,4096,random,1000,30.22421,30.1525,0.8007561078407359,28.978,29.972,30.354,29.631,30.70705,39.527,38
47,11155,524288,4096,random,1000,29.89837,29.633,1.93402226699416,28.37,29.305500000000002,30.045250000000003,28.945800000000002,30.67415,72.394,30
48,10922,524288,4096,random,1000,29.163726,28.365000000000002,6.462292390465156,27.178,28.0625,28.6095,27.60465,29.155599999999996,96.238,49
49,10699,524288,4096,random,1000,30.141187,30.058,1.0088731412055958,29.006,29.8945,30.2535,29.568849999999998,30.51005,52.594,32
50,10485,524288,4096,random,1000,29.9191,29.764,2.3658555857559547,28.591,29.424,30.034,28.9719,30.4271,80.559,23
51,10280,524288,4096,random,1000,29.902117,29.802999999999997,0.9650725560025781,28.944,29.581,30.036,29.305300000000003,30.3791,44.109,24
52,10082,524288,4096,random,1000,30.337172,29.449,6.226261004046209,28.668,29.258,29.6555,29.0039,30.0955,100.485,40
53,9892,524288,4096,random,1000,30.019845,29.919,1.011440772072399,28.845,29.6425,30.176000000000002,29.30475,30.65055,43.985,28
54,9709,524288,4096,random,1000,30.134898,30.073999999999998,0.8731905332190125,28.973,29.73475,30.39375,29.31385,30.842599999999997,40.24,14
55,9532,524288,4096,random,1000,30.347554,30.253,0.8822726347825178,29.168,29.981,30.61475,29.5847,31.011499999999998,41.057,14
56,9362,524288,4096,random,1000,29.484461,29.432,0.8744274159613162,28.329,29.1265,29.685,28.7238,30.11215,38.917,14
57,9198,524288,4096,random,1000,31.531281,31.005,4.682693651080419,29.725,30.7285,31.299,30.309549999999998,31.6972,80.5,25
58,9039,524288,4096,random,1000,31.078012,30.878,2.5263415365732746,29.875,30.598,31.148,30.28185,31.58605,89.69,22
59,8886,524288,4096,random,1000,31.016426,30.9145,0.9874260928357185,30.205,30.75975,31.084,30.50385,31.358050000000002,47.194,25
60,8738,524288,4096,random,1000,30.801395,30.552,2.732844569018409,29.649,30.306,30.81025,30.00995,31.1383,79.528,20
61,8594,524288,4096,random,1000,31.370062,31.3425,0.857600752802379,30.302,31.144,31.50775,30.684549999999998,31.765,43.463,49
62,8456,524288,4096,random,1000,31.845956,31.249,4.969720529587777,30.443,31.074,31.474,30.80485,31.88325,97.997,34
63,8322,524288,4096,random,1000,31.689216,31.533,1.187805696954564,30.715,31.323,31.826,31.0659,32.138,50.308,21
64,8192,524288,4096,random,1000,30.855775,30.7065,1.3791408469952773,29.568,30.468,30.957250000000002,30.118949999999998,31.3665,54.328,34
65,8065,524288,4096,random,1000,32.10523,31.952,1.2288730553177925,31.181,31.767,32.168,31.4629,32.5044,45.198,28
66,7943,524288,4096,random,1000,30.94373,30.657,3.367320573236671,29.8,30.316,30.983,30.008,31.386699999999998,96.711,21
67,7825,524288,4096,random,1000,31.457369,31.37,0.9135397329523673,30.498,31.193,31.55525,30.926,31.8642,47.024,26
68,7710,524288,4096,random,1000,30.894561,30.62,2.6539037407834414,29.852,30.391,30.904,30.13495,31.3564,91.18,38
69,7598,524288,4096,random,1000,31.937091,31.847,0.8165683870011438,31.001,31.5945,32.148,31.295749999999998,32.51605,39.956,14
70,7489,524288,4096,random,1000,31.582073,31.485999999999997,0.8464497296448358,30.973,31.348,31.65,31.1739,31.864,42.897,19
71,7384,524288,4096,random,1000,32.934091,32.848,0.8060211677380698,32.112,32.64175,33.075,32.386,33.39615,45.035,11
72,7281,524288,4096,random,1000,30.844588,30.723,1.489982598690468,29.77,30.527749999999997,30.96225,30.1823,31.3111,69.92,15
73,7182,524288,4096,random,1000,30.867849,30.737,0.8747467428136346,30.026,30.5505,30.968,30.3337,31.43915,42.518,36
74,7084,524288,4096,random,1000,31.420885,31.184,3.265219726701197,29.867,30.87975,31.42225,30.362849999999998,31.715,80.066,27
75,6990,524288,4096,random,1000,32.45586,31.387,7.485582668589553,30.542,31.225,31.561,30.959,31.97055,122.187,48
76,6898,524288,4096,random,1000,30.889535,30.7815,0.962963124295917,30.02,30.62275,30.979,30.3196,31.3361,45.661,26
77,6808,524288,4096,random,1000,32.276589,31.4815,6.1553841447994975,30.87,31.30375,31.67425,31.0849,32.074799999999996,123.389,43
78,6721,524288,4096,random,1000,31.734396,31.2075,4.377994082839009,30.351,30.989,31.549,30.65795,32.11015,91.101,25
79,6636,524288,4096,random,1000,32.064241,31.548000000000002,4.403209236966091,30.83,31.35175,31.743,31.104,32.117,81.152,31
80,6553,524288,4096,random,1000,30.832752,30.127499999999998,5.223272543200915,29.101,29.932,30.35775,29.466549999999998,30.8562,81.858,57
81,6472,524288,4096,random,1000,31.836793,31.771,1.1072823697672594,30.467,31.50375,32.015,31.038800000000002,32.2971,46.24,20
82,6393,524288,4096,random,1000,31.543682,31.354,2.2882619587074524,30.668,31.18975,31.5335,30.9498,31.79735,81.319,24
83,6316,524288,4096,random,1000,32.645589,31.622,7.087600181331436,30.797,31.418,31.99925,31.124,32.6299,139.281,40
84,6241,524288,4096,random,1000,32.015818,31.194499999999998,5.878470020903625,30.521,31.021,31.376,30.8058,31.737099999999998,86.533,37
