stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
36,14563,524288,4096,random,1000,29.037151,27.27,13.533600986650407,26.189,27.027,27.505,26.663,28.10045,362.181,55
37,14169,524288,4096,random,1000,29.325419,27.539,9.409715091198912,26.363,27.29975,27.813,26.8479,28.996999999999996,120.047,67
38,13797,524288,4096,random,1000,29.312538,28.636000000000003,5.300840570070497,27.44,28.276,28.991,27.8009,29.6631,79.5,29
39,13443,524288,4096,random,1000,30.010064,28.664,8.274039408779851,27.628,28.433500000000002,28.9425,28.0626,29.74605,135.011,54
40,13107,524288,4096,random,1000,27.991342,27.507,4.538025271679566,26.362,27.15,27.793,26.78495,28.243299999999998,78.187,25
41,12787,524288,4096,random,1000,30.280985,29.110500000000002,7.357978308990219,27.791,28.729,29.417250000000003,28.2808,30.125949999999996,100.61,48
42,12483,524288,4096,random,1000,30.099482,29.666,4.567249755816733,27.884,29.379,29.877,28.81695,30.221,91.168,51
43,12192,524288,4096,random,1000,29.974934,29.8645,1.0026332744962774,28.946,29.6055,30.118499999999997,29.28295,30.6811,43.562,25
44,11915,524288,4096,random,1000,29.608561,29.53,1.1279943943267772,28.504,29.254,29.782,28.888,30.11515,51.993,15
45,11650,524288,4096,random,1000,29.912272,29.784,1.3789826144905044,28.281,29.543,30.06825,29.1142,30.4131,58.863,37
46,11397,524288,4096,random,1000,29.294167,29.169,1.0332128211771499,28.214,28.955,29.44125,28.6328,30.01435,48.563,30
47,11155,524288,4096,random,1000,29.616293,29.538,0.8756454362817642,28.315,29.336,29.7595,28.959600000000002,30.106150000000003,41.133,33
48,10922,524288,4096,random,1000,29.391226,28.4145,6.799211720408693,27.227,28.20875,28.6505,27.8678,29.289399999999997,100.27,55
49,10699,524288,4096,random,1000,30.413026,30.32,0.8069780473426107,29.437,30.118,30.536250000000003,29.873,30.8982,38.849,24
50,10485,524288,4096,random,1000,29.558057,29.489,0.778755949306058,28.634,29.211,29.745,28.92095,30.179399999999998,38.095,16
51,10280,524288,4096,random,1000,29.679152,29.447,2.6231463336199115,28.235,29.151,29.831,28.6807,30.3031,79.256,17
52,10082,524288,4096,random,1000,29.669722,28.998,5.248401712831751,28.299,28.7875,29.198,28.5179,29.594849999999997,87.72,44
53,9892,524288,4096,random,1000,29.567619,29.3525,2.6949694187517244,28.367,29.09075,29.614,28.797,29.96235,80.819,16
54,9709,524288,4096,random,1000,29.5215,29.459,0.955912833549872,28.321,29.21,29.67925,28.8228,30.0011,43.668,27
55,9532,524288,4096,random,1000,30.287271,29.741,5.012615843963924,28.809,29.469,29.963250000000002,29.1149,30.3083,88.394,29
56,9362,524288,4096,random,1000,29.103119,28.881,3.040657783209678,27.646,28.5955,29.1675,28.00575,29.62715,78.409,26
57,9198,524288,4096,random,1000,30.185498,29.991500000000002,2.438387575420274,29.227,29.82,30.169,29.59685,30.52335,90.077,36
58,9039,524288,4096,random,1000,30.260489,29.985,3.093216672860837,29.073,29.783,30.193,29.4597,30.53535,80.399,32
59,8886,524288,4096,random,1000,30.064606,29.967,0.8159057206006763,29.065,29.7715,30.1895,29.5399,30.586299999999998,40.454,23
60,8738,524288,4096,random,1000,29.815834,29.6295,2.277258848771546,28.711,29.312,29.97125,29.03995,30.3222,80.876,17
61,8594,524288,4096,random,1000,30.565244,30.313000000000002,2.9604576490731898,29.554,30.13,30.5215,29.90995,30.8445,79.414,18
62,8456,524288,4096,random,1000,30.206176,30.134,0.7201032576830393,29.343,29.945,30.332,29.7169,30.63115,38.65,18
63,8322,524288,4096,random,1000,30.477995,30.429,0.8194646895091651,29.199,30.2005,30.63,29.78595,30.95605,40.823,27
64,8192,524288,4096,random,1000,30.492317,29.7285,5.5952887770882755,28.732,29.45575,29.99625,29.1449,31.0216,82.956,59
65,8065,524288,4096,random,1000,31.110068,30.049,7.031784115516007,29.014,29.792,30.34475,29.4529,31.68345,109.203,70
66,7943,524288,4096,random,1000,31.053609,30.725,3.3028323974983906,29.663,30.50375,31.04925,30.2088,31.6101,95.968,22
67,7825,524288,4096,random,1000,30.737192,30.627,0.8365425982307504,29.772,30.430500000000002,30.862499999999997,30.15995,31.26195,38.842,36
68,7710,524288,4096,random,1000,29.955427,29.8435,0.8848006514825042,29.131,29.6585,30.06,29.3869,30.5441,44.465,27
69,7598,524288,4096,random,1000,31.294863,31.153,2.1962793768854483,30.314,30.969,31.33325,30.647,31.535,80.185,22
70,7489,524288,4096,random,1000,31.653244,31.083,4.847802319174101,30.016,30.869,31.356,30.54995,31.7794,96.653,30
71,7384,524288,4096,random,1000,31.463438,31.29,2.182238980754657,30.594,31.12275,31.4615,30.9049,31.8584,79.538,35
72,7281,524288,4096,random,1000,29.852568,29.697,1.458439963283543,28.797,29.469749999999998,29.913,29.199849999999998,30.333,58.693,35
73,7182,524288,4096,random,1000,31.210849,31.124,0.8254322932074257,30.281,30.9645,31.30625,30.721,31.584,45.726,30
74,7084,524288,4096,random,1000,30.948517,30.844,2.2248544588521004,29.645,30.538,31.0645,30.088749999999997,31.37505,79.457,19
75,6990,524288,4096,random,1000,30.869329,30.616999999999997,2.7115290768667215,29.917,30.428,30.8425,30.178849999999997,31.255,84.477,30
76,6898,524288,4096,random,1000,30.865731,29.8535,7.408140291815633,28.871,29.63075,30.08725,29.32685,30.75515,151.632,50
77,6808,524288,4096,random,1000,30.902694,30.6435,3.259707360859628,29.742,30.295,31.011,29.9939,31.3862,97.886,21
78,6721,524288,4096,random,1000,30.523711,30.439,0.9210996841314772,29.69,30.2105,30.638,29.985,30.956,43.493,25
79,6636,524288,4096,random,1000,30.833378,30.501,3.175137159414865,29.764,30.314,30.76,30.07395,31.17235,80.299,31
80,6553,524288,4096,random,1000,29.154725,29.0715,0.9287179671124262,28.184,28.82275,29.32025,28.52375,29.728,47.04,19
81,6472,524288,4096,random,1000,30.742185,30.7495,0.957831554116412,29.373,30.4025,30.977,29.762,31.31425,41.861,31
82,6393,524288,4096,random,1000,31.824371,30.171,8.706588764336482,29.3,29.945,30.4275,29.6469,32.60024999999997,129.359,75
83,6316,524288,4096,random,1000,31.966085,30.771,7.588967485717294,29.947,30.576,30.989,30.296,31.5225,116.044,48
84,6241,524288,4096,random,1000,32.388016,30.29,9.125145197783135,29.466,30.0755,31.63525,29.852,32.73705,121.598,43
85,6168,524288,4096,random,1000,30.872995,30.682000000000002,3.211014052947016,29.458,30.424500000000002,30.941499999999998,29.85465,31.2851,106.463,34
86,6096,524288,4096,random,1000,30.591092,30.3435,2.983130736076534,29.51,30.061500000000002,30.58,29.7678,30.9514,81.209,24
