stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,8192,65536,4096,sequential,1000,6.423031,6.158,3.8310464799020867,6.114,6.148,6.168,6.134,6.205,86.053,64
16,4096,65536,4096,sequential,1000,6.411869,6.158,3.7042201587950765,6.075,6.146,6.17,6.132,6.207,81.094,53
24,2730,65536,4096,sequential,1000,6.475464,6.301,2.9132726938088878,6.214,6.281,6.325,6.253,6.36,65.18,16
32,2048,65536,4096,sequential,1000,6.691345,6.4245,3.7392742199077436,6.3,6.396,6.455,6.358,6.5192,76.082,26
40,1638,65536,4096,sequential,1000,7.419263,7.148,3.8928116847137164,6.985,7.114,7.184,7.064,7.255,82.188,33
48,1365,65536,4096,sequential,1000,7.95101,7.694,3.791350301278821,7.428,7.63575,7.756,7.553,7.85715,85.41,12
56,1170,65536,4096,sequential,1000,8.390622,8.1335,3.738419129083937,7.672,8.05775,8.21,7.954,8.34625,84.445,23
64,1024,65536,4096,sequential,1000,9.993787,9.729,3.561072977682904,9.49,9.680499999999999,9.791,9.5999,9.9161,76.113,32
72,910,65536,4096,sequential,1000,9.876714,9.848,0.37664121230530095,9.673,9.80875,9.911249999999999,9.749,9.975,17.822,3
80,819,65536,4096,sequential,1000,9.914413,9.893,0.37728941906278896,9.67,9.848,9.94,9.783,10.011099999999999,18.138,11
88,744,65536,4096,sequential,1000,10.009774,9.985,0.4889979508340704,9.745,9.931,10.04525,9.854,10.114,22.057,4
96,682,65536,4096,sequential,1000,10.183726,10.03,2.1530236059020744,9.715,9.9725,10.08,9.85495,10.251299999999999,58.764,80
104,630,65536,4096,sequential,1000,10.109557,10.078,0.5884211197477238,9.789,10.023,10.124,9.949,10.187,22.173,22
112,585,65536,4096,sequential,1000,10.119988,10.112,0.3497372356355411,9.864,10.06675,10.151,9.981,10.20505,18.878,27
120,546,65536,4096,sequential,1000,9.700614,9.682,0.3888154735558713,9.298,9.594,9.773,9.46795,9.88505,17.625,7
128,512,65536,4096,sequential,1000,10.216807,10.2025,0.3699189151081015,9.945,10.144,10.251,10.066,10.31505,17.939,7
136,481,65536,4096,sequential,1000,6.396098,6.37,0.5188518860673783,6.277,6.345,6.395,6.319,6.44605,20.236,20
144,455,65536,4096,sequential,1000,6.30903,6.287,0.38882797776947103,6.245,6.275,6.301,6.261,6.34,16.304,49
152,431,65536,4096,sequential,1000,6.403051,6.378,0.3988416340454542,6.283,6.353,6.41025,6.327,6.46205,16.569,22
160,409,65536,4096,sequential,1000,6.292389,6.271,0.47166129590740963,6.233,6.261,6.281,6.249,6.307,19.4,40
168,390,65536,4096,sequential,1000,6.279667,6.261,0.31498003513482176,6.227,6.253,6.271,6.241,6.297,13.598,45
176,372,65536,4096,sequential,1000,6.307682,6.251,0.8017813818368821,6.094,6.237,6.265,6.219,6.295,22.144,44
184,356,65536,4096,sequential,1000,6.482683,6.271,2.9923193090575007,6.112,6.261,6.282,6.245,6.312,58.405,80
192,341,65536,4096,sequential,1000,6.26896,6.122,2.733159165036208,6.088,6.11175,6.13425,6.098,6.16405,73.41,44
200,327,65536,4096,sequential,1000,6.381223,6.2705,2.0609549360719948,6.132,6.257,6.287,6.243,6.322,54.777,45
208,315,65536,4096,sequential,1000,6.283633,6.259,0.5394315774384529,6.223,6.251,6.269,6.239,6.295,22.022,50
216,303,65536,4096,sequential,1000,6.411227,6.388,0.3514699910740967,6.32,6.37,6.414,6.347,6.4590499999999995,15.469,28
224,292,65536,4096,sequential,1000,6.285134,6.271,0.2901625860967785,6.202,6.261,6.279,6.249,6.308,13.266,55
232,282,65536,4096,sequential,1000,6.153936,6.138,0.3122397244899335,6.102,6.13,6.147,6.118,6.17,13.865,49
240,273,65536,4096,sequential,1000,6.170719,6.12,0.495812149636056,6.088,6.11,6.134,6.099,6.2871999999999995,18.844,111
248,264,65536,4096,sequential,1000,6.332099,6.314,0.3292737590628919,6.271,6.303,6.327,6.289,6.362,14.438,47
256,256,65536,4096,sequential,1000,14.182158,14.151,0.43493630179903664,13.672,14.03875,14.265,13.89895,14.41415,21.351,9
264,248,65536,4096,sequential,1000,6.275815,6.283,0.3383636634506485,6.134,6.2565,6.295,6.15095,6.326,14.597,228
272,240,65536,4096,sequential,1000,6.132646,6.116,0.30836461765484935,6.089,6.108,6.128,6.097,6.1541,14.046,41
